stim	duration
SCRF1dapon.wav	0.62
SCRF1fenan.wav	0.82
SCRF1fimu.wav	0.84
SCRF1fomeu.wav	0.78
SCRF1guinleu.wav	0.80
SCRF1jikin.wav	0.63
SCRF1ke2lo.wav	0.68
SCRF1keto.wav	0.63
SCRF1keva.wav	0.71
SCRF1linze3.wav	0.75
SCRF1ne3mi.wav	0.73
SCRF1panre3.wav	0.66
SCRF1pefu.wav	0.68
SCRF1ranjo.wav	0.81
SCRF1reuchi.wav	0.82
SCRF1teuvon.wav	0.75
SCRF1ve3gu.wav	0.77
SCRF1zanjon.wav	0.74
SCRF1ze2jin.wav	0.85
SCRF1zongue.wav	0.74
SCRF2bena.wav	0.82
SCRF2beuman.wav	0.84
SCRF2chinzon.wav	0.84
SCRF2dinko.wav	0.83
SCRF2fudi.wav	0.82
SCRF2gueuchin.wav	0.88
SCRF2jazou.wav	0.71
SCRF2je2che3.wav	0.88
SCRF2linji.wav	0.83
SCRF2mudin.wav	0.79
SCRF2rebe3.wav	0.85
SCRF2tigu.wav	0.73
SCRF2time2.wav	0.74
SCRF2tofi.wav	0.73
SCRF2ve3na.wav	0.82
SCRF2vechon.wav	0.89
SCRF2vonche3.wav	0.88
SCRF2zachu.wav	0.84
SCRF2ze3pon.wav	0.85
SCRF2zudi.wav	0.76
SCRM1be3pe.wav	0.69
SCRM1bemi.wav	0.80
SCRM1chonre3.wav	0.84
SCRM1churan.wav	0.81
SCRM1dafe.wav	0.76
SCRM1gueume2.wav	0.81
SCRM1guinjo.wav	0.84
SCRM1jane3.wav	0.67
SCRM1ke2pan.wav	0.65
SCRM1keje2.wav	0.68
SCRM1kinjon.wav	0.68
SCRM1lojin.wav	0.81
SCRM1manchi.wav	0.68
SCRM1meuzu.wav	0.83
SCRM1nankin.wav	0.73
SCRM1releu.wav	0.84
SCRM1veteu.wav	0.61
SCRM1zague.wav	0.73
SCRM1zanfo.wav	0.81
SCRM1zoureu.wav	0.76
SCRM2beran.wav	0.71
SCRM2beuko.wav	0.82
SCRM2dinzon.wav	0.76
SCRM2guinpan.wav	0.65
SCRM2jonmi.wav	0.84
SCRM2kinfu.wav	0.74
SCRM2loja.wav	0.75
SCRM2me2chu.wav	0.80
SCRM2nanreu.wav	0.80
SCRM2ponna.wav	0.66
SCRM2re3chon.wav	0.73
SCRM2teuzou.wav	0.70
SCRM2tozan.wav	0.69
SCRM2vane3.wav	0.78
SCRM2ve3fi.wav	0.87
SCRM2vonchin.wav	0.81
SCRM2zare.wav	0.85
SCRM2ze2da.wav	0.74
SCRM2ze2va.wav	0.77
SCRM2zuti.wav	0.72
SYLF1dapon.wav	0.62
SYLF1fenan.wav	0.82
SYLF1fimu.wav	0.84
SYLF1fomeu.wav	0.78
SYLF1guinleu.wav	0.80
SYLF1jikin.wav	0.63
SYLF1ke2lo.wav	0.68
SYLF1keto.wav	0.63
SYLF1keva.wav	0.71
SYLF1linze3.wav	0.75
SYLF1ne3mi.wav	0.73
SYLF1panre3.wav	0.66
SYLF1pefu.wav	0.68
SYLF1ranjo.wav	0.81
SYLF1reuchi.wav	0.82
SYLF1teuvon.wav	0.75
SYLF1ve3gu.wav	0.77
SYLF1zanjon.wav	0.74
SYLF1ze2jin.wav	0.85
SYLF1zongue.wav	0.74
SYLF2bena.wav	0.82
SYLF2beuman.wav	0.84
SYLF2chinzon.wav	0.84
SYLF2dinko.wav	0.83
SYLF2fudi.wav	0.82
SYLF2gueuchin.wav	0.88
SYLF2jazou.wav	0.71
SYLF2je2che3.wav	0.88
SYLF2linji.wav	0.83
SYLF2mudin.wav	0.79
SYLF2rebe3.wav	0.85
SYLF2tigu.wav	0.73
SYLF2time2.wav	0.74
SYLF2tofi.wav	0.73
SYLF2ve3na.wav	0.82
SYLF2vechon.wav	0.89
SYLF2vonche3.wav	0.88
SYLF2zachu.wav	0.84
SYLF2ze3pon.wav	0.85
SYLF2zudi.wav	0.76
SYLM1be3pe.wav	0.69
SYLM1bemi.wav	0.80
SYLM1chonre3.wav	0.84
SYLM1churan.wav	0.81
SYLM1dafe.wav	0.76
SYLM1gueume2.wav	0.81
SYLM1guinjo.wav	0.84
SYLM1jane3.wav	0.67
SYLM1ke2pan.wav	0.65
SYLM1keje2.wav	0.68
SYLM1kinjon.wav	0.68
SYLM1lojin.wav	0.81
SYLM1manchi.wav	0.68
SYLM1meuzu.wav	0.83
SYLM1nankin.wav	0.73
SYLM1releu.wav	0.84
SYLM1veteu.wav	0.61
SYLM1zague.wav	0.73
SYLM1zanfo.wav	0.81
SYLM1zoureu.wav	0.76
SYLM2beran.wav	0.71
SYLM2beuko.wav	0.82
SYLM2dinzon.wav	0.76
SYLM2guinpan.wav	0.65
SYLM2jonmi.wav	0.84
SYLM2kinfu.wav	0.74
SYLM2loja.wav	0.75
SYLM2me2chu.wav	0.80
SYLM2nanreu.wav	0.80
SYLM2ponna.wav	0.66
SYLM2re3chon.wav	0.73
SYLM2teuzou.wav	0.70
SYLM2tozan.wav	0.69
SYLM2vane3.wav	0.78
SYLM2ve3fi.wav	0.87
SYLM2vonchin.wav	0.81
SYLM2zare.wav	0.85
SYLM2ze2da.wav	0.74
SYLM2ze2va.wav	0.77
SYLM2zuti.wav	0.72
tone.wav	0.50
